"id","store_code","total_sale","transaction_date"
1,"TX001",937.7,2023-02-12
2,"TX001",1117.77,2023-03-25
3,"TX001",365.68,2023-02-06
4,"TX001",199.44,2023-02-20
5,"TX001",530.48,2023-03-04
6,"TX001",396.33,2023-03-03
7,"TX001",1124.23,2023-03-04
8,"TX001",1162.74,2023-02-19
9,"TX001",609.78,2023-02-25
10,"TX001",716.03,2023-02-24
11,"TX001",202.78,2023-03-25
12,"TX001",868.09,2023-02-12
13,"TX001",342.29,2023-02-05
14,"TX001",1040.44,2023-03-24
15,"TX001",788.88,2023-03-27
16,"TX001",651.61,2023-02-22
17,"TX001",594.75,2023-03-26
18,"TX001",989.1,2023-02-11
19,"TX001",703.35,2023-03-07
20,"TX001",259.32,2023-02-15
21,"TX001",790.32,2023-02-24
22,"TX001",773.75,2023-03-25
23,"TX001",1414.88,2023-03-18
24,"TX001",549.15,2023-03-09
25,"TX001",426.88,2023-02-18
26,"TX001",1138.18,2023-03-08
27,"TX001",1183.84,2023-03-01
28,"TX001",441.72,2023-02-24
29,"TX001",478.33,2023-02-24
30,"TX001",993.15,2023-03-17
31,"TX001",556.66,2023-02-13
32,"TX001",1395.29,2023-03-02
33,"TX001",672.66,2023-03-10
34,"TX001",1235.13,2023-03-10
35,"TX001",1240.59,2023-02-14
36,"TX001",189.25,2023-02-21
37,"TX001",598.98,2023-03-14
38,"TX001",976.46,2023-03-12
39,"TX001",1109.53,2023-02-03
40,"TX001",672.03,2023-03-09
41,"TX001",1094.68,2023-03-01
42,"TX001",722.25,2023-03-24
43,"TX001",160.9,2023-02-24
44,"TX001",327.54,2023-02-27
45,"TX001",531.05,2023-02-09
46,"TX001",798.82,2023-03-10
47,"TX001",967.55,2023-02-13
48,"TX001",225.86,2023-02-17
49,"TX001",274.22,2023-03-22
50,"TX001",1431.45,2023-03-11
51,"TX001",1022.17,2023-02-11
52,"TX001",151.18,2023-03-07
53,"TX001",964,2023-03-24
54,"TX001",6.72,2023-03-09
55,"TX001",135.94,2023-02-04
56,"TX001",837.92,2023-02-02
57,"TX001",644.36,2023-02-17
58,"TX001",1250.32,2023-03-15
59,"TX001",113.19,2023-03-18
60,"TX001",304.08,2023-03-22
61,"TX001",435.69,2023-03-18
62,"TX001",664.98,2023-02-25
63,"TX001",1232.8,2023-03-18
64,"TX001",791.64,2023-02-18
65,"TX001",1316.31,2023-02-23
66,"TX001",280.2,2023-02-24
67,"TX001",0.35,2023-02-13
68,"TX001",168.92,2023-03-04
69,"TX001",610.83,2023-03-01
70,"TX001",158.47,2023-03-14
71,"TX001",1344.35,2023-03-16
72,"TX001",1175.34,2023-02-05
73,"TX001",229.18,2023-02-18
74,"TX001",572.47,2023-03-29
75,"TX001",1108.21,2023-03-24
76,"TX001",43.45,2023-02-16
77,"TX001",12.43,2023-03-03
78,"TX001",158.59,2023-02-18
79,"TX001",228.21,2023-02-07
80,"TX001",641.19,2023-03-27
81,"TX001",1242.28,2023-03-09
82,"TX001",43.59,2023-02-19
83,"TX001",633.23,2023-02-16
84,"TX001",889.62,2023-03-09
85,"TX001",229.55,2023-02-08
86,"TX001",561.7,2023-02-06
87,"TX001",343.23,2023-03-05
88,"TX001",906.85,2023-02-03
89,"TX001",658.62,2023-03-06
90,"TX001",1333.75,2023-02-08
91,"TX001",623.67,2023-02-01
92,"TX001",429.51,2023-02-21
93,"TX001",1242.58,2023-02-21
94,"TX001",1199.8,2023-03-26
95,"TX001",869.2,2023-03-23
96,"TX001",160.57,2023-02-11
97,"TX001",770.83,2023-03-18
98,"TX001",640.76,2023-03-30
99,"TX001",875.63,2023-02-28
100,"CO005",683.42,2023-03-22
101,"CO005",281.28,2023-02-28
102,"CO005",600.12,2023-02-27
103,"CO005",148.62,2023-03-30
104,"CO005",759.45,2023-02-21
105,"CO005",1433.66,2023-02-16
106,"CO005",532.68,2023-03-18
107,"CO005",1375,2023-03-05
108,"CO005",603.08,2023-03-19
109,"CO005",12.29,2023-03-28
110,"CO005",642.92,2023-02-23
111,"CO005",346.41,2023-03-04
112,"CO005",135.41,2023-02-19
113,"CO005",1346.9,2023-02-25
114,"CO005",865.83,2023-03-30
115,"CO005",1479.19,2023-02-14
116,"CO005",847.63,2023-03-07
117,"CO005",955.04,2023-02-07
118,"CO005",1290.82,2023-02-03
119,"CO005",20.5,2023-02-13
120,"CO005",873.32,2023-03-18
121,"CO005",783.18,2023-03-13
122,"CO005",682.45,2023-02-03
123,"CO005",278.32,2023-02-16
124,"CO005",132.54,2023-03-21
125,"CO005",441.75,2023-02-15
126,"CO005",1388.26,2023-03-07
127,"CO005",910.94,2023-03-20
128,"CO005",275.89,2023-03-18
129,"CO005",1113.21,2023-02-03
130,"CO005",381.61,2023-02-15
131,"CO005",892.72,2023-03-15
132,"CO005",1492.06,2023-03-05
133,"CO005",1043.83,2023-03-07
134,"CO005",823.16,2023-03-29
135,"CO005",425.38,2023-02-05
136,"CO005",976.75,2023-02-11
137,"CO005",1407.44,2023-02-19
138,"CO005",938.61,2023-03-02
139,"CO005",574.84,2023-03-20
140,"CO005",1263.55,2023-03-05
141,"CO005",445.52,2023-02-05
142,"CO005",869.47,2023-02-21
143,"CO005",1387.61,2023-02-26
144,"CO005",976.14,2023-03-03
145,"CO005",1388.62,2023-03-13
146,"CO005",917.75,2023-02-08
147,"CO005",658.6,2023-03-22
148,"CO005",29.37,2023-03-02
149,"CO005",1254.66,2023-02-10
150,"CO005",1032.2,2023-02-06
151,"CO005",376.15,2023-03-29
152,"CO005",1405.76,2023-03-01
153,"CO005",1103.72,2023-02-03
154,"CO005",204.41,2023-03-21
155,"CO005",639.71,2023-03-19
156,"CO005",847.63,2023-03-30
157,"CO005",986.63,2023-02-02
158,"CO005",918.58,2023-03-09
159,"CO005",1408.75,2023-02-14
160,"CO005",1064.05,2023-03-20
161,"CO005",844.66,2023-03-24
162,"CO005",629.5,2023-02-27
163,"CO005",1317.21,2023-02-18
164,"CO005",206.75,2023-03-06
165,"CO005",48.2,2023-03-23
166,"CO005",1213.57,2023-02-12
167,"CO005",579.02,2023-03-01
168,"CO005",696.57,2023-02-15
169,"CO005",1283.12,2023-03-15
170,"CO005",1054.31,2023-02-19
171,"CO005",612.56,2023-02-22
172,"CO005",411.89,2023-02-04
173,"CO005",218.33,2023-03-09
174,"CO005",109.57,2023-03-07
175,"CO005",1229.31,2023-03-23
176,"CO005",231.52,2023-02-22
177,"CO005",946.57,2023-02-24
178,"CO005",283.77,2023-03-08
179,"CO005",1056.28,2023-02-03
180,"CO005",1185.86,2023-03-19
181,"CO005",156.95,2023-02-05
182,"CO005",693.99,2023-02-14
183,"CO005",678.88,2023-03-26
184,"CO005",1319.88,2023-03-30
185,"CO005",279.89,2023-03-13
186,"CO005",1425.62,2023-02-26
187,"CO005",279.72,2023-02-08
188,"CO005",657.04,2023-02-04
189,"CO005",1005.38,2023-02-28
190,"CO005",921.96,2023-03-24
191,"CO005",1126.24,2023-03-04
192,"CO005",1499.27,2023-02-12
193,"CO005",97.36,2023-02-22
194,"CO005",771.21,2023-03-21
